10001000	Startinit
1009a42a	??0CInitGDIPlus@CImage@ATL@@QAE@XZ
1009a4b2	??1CWin32Heap@ATL@@UAE@XZ
1009a503	?Reallocate@CWin32Heap@ATL@@UAEPAXPAXI@Z
1009a573	??0CAtlStringMgr@ATL@@QAE@PAUIAtlMemMgr@1@@Z
1009a5a4	00:?
1009a606	00:?
1009a62e	?Allocate@CAtlStringMgr@ATL@@UAEPAUCStringData@2@HH@Z
1009a692	?Reallocate@CAtlStringMgr@ATL@@UAEPAUCStringData@2@PAU32@HH@Z
1009aadb	??0bad_typeid@@QAE@ABV0@@Z
1009ab95	??0bad_typeid@@QAE@ABV0@@Z
1009bc91	?CenterPoint@CRect@@QBE?AVCPoint@@XZ
1009bf98	??1CClientDC@@UAE@XZ
1009d5f9	??1CClientDC@@UAE@XZ
100a17ce	??1CPersistStream@@QAE@XZ
100a211a	??1?$numpunct@D@std@@MAE@XZ
100a24a7	??0bad_typeid@@QAE@ABV0@@Z
100a3a6a	?GetTitle@CFrameWnd@@QBE?AV?$CStringT@_WV?$StrTraitMFC@_WV?$ChT
100a3b75	XF_GetObj
100a4d10	_strtol (REF 000F: _strtoxl)
100a4d27	_strtol (REF 000F: _strtoxl)
100a95c6	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a95e2	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a9625	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a9668	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a96c8	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a970b	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a974e	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a9791	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a97d4	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100a9817	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
100ab55a	00:?
100abe65	??0bad_typeid@@QAE@ABV0@@Z
100abef9	??0bad_typeid@@QAE@ABV0@@Z
100abf65	??0bad_typeid@@QAE@ABV0@@Z
100abfb1	??0bad_typeid@@QAE@ABV0@@Z
100abffd	??0bad_typeid@@QAE@ABV0@@Z
100adc8c	??0CLoadDirectDraw@@QAE@XZ
100b300f	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100b3028	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100b3041	_strtol (REF 000F: _strtoxl)
100b3058	_strtol (REF 000F: _strtoxl)
100b31ff	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100b3218	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100b63dd	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100b644a	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100c154c	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100c1565	_strtol (REF 000F: _strtoxl)
100c157c	_strtol (REF 000F: _strtoxl)
100c5341	??1type_info@@UAE@XZ
100c5de6	??1CClientDC@@UAE@XZ
100c5e98	??1CClientDC@@UAE@XZ
100c6011	??0bad_typeid@@QAE@ABV0@@Z
100c6828	??1CClientDC@@UAE@XZ
100c6854	??1CClientDC@@UAE@XZ
100c9707	_GetGWExchangeServerName
100caf02	??1CClientDC@@UAE@XZ
100caf2e	??1CClientDC@@UAE@XZ
100cb0be	??1CPersistStream@@QAE@XZ
100cb39c	??PCOleCurrency@@QBEHABV0@@Z
100cdc1c	??0?$moneypunct@_W$0A@@std@@QAE@I@Z
100d01b8	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100d0ab3	??0runtime_error@std@@QAE@ABV01@@Z
100d58e7	??0bad_typeid@@QAE@ABV0@@Z
100d58ff	??0bad_typeid@@QAE@ABV0@@Z
100d5bbb	??1CClientDC@@UAE@XZ
100d5be7	??1CClientDC@@UAE@XZ
100d9e71	??0runtime_error@std@@QAE@ABV01@@Z
100dadee	00:_$$ed00
100db158	??1type_info@@UAE@XZ
100dbe75	??1CClientDC@@UAE@XZ
100dccfe	??1CClientDC@@UAE@XZ
100dcde9	??0runtime_error@std@@QAE@ABV01@@Z
100dd063	??1CClientDC@@UAE@XZ
100e1aee	??1CClientDC@@UAE@XZ
100e1b3b	??0bad_typeid@@QAE@ABV0@@Z
100e39ac	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100e66f0	000:?
100e6ea8	??1CClientDC@@UAE@XZ
100e7214	??1CClientDC@@UAE@XZ
100e79c6	??1CClientDC@@UAE@XZ
100e9331	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
100ec200	00:?
100ec580	?ConvertBSTRToString@_com_util@@YGPADPA_W@Z
100f3840	?ConvertBSTRToString@_com_util@@YGPADPA_W@Z
100f38d0	?ConvertBSTRToString@_com_util@@YGPADPA_W@Z
100f9ef0	?ConvertBSTRToString@_com_util@@YGPADPA_W@Z
100fade0	?ConvertBSTRToString@_com_util@@YGPADPA_W@Z
100fb812	??1CClientDC@@UAE@XZ
100fc678	??1CClientDC@@UAE@XZ
100fc6c5	??1CClientDC@@UAE@XZ
100fcd39	del1
100fcdd6	a
100fcfaa	GetSaveName
100fe074	??1CClientDC@@UAE@XZ
100fe151	??1CClientDC@@UAE@XZ
100fe698	??1CStringArray@@UAE@XZ
100ff0c4	GUI-Itemno
100ff693	??1COleLinkingDoc@@UAE@XZ
10100006	oStream::Reset()
101009fa	??1CClientDC@@UAE@XZ
10100a2b	??1CClientDC@@UAE@XZ
10100a5c	??0bad_typeid@@QAE@ABV0@@Z
10101ae7	??1CClientDC@@UAE@XZ
10101b84	??1CClientDC@@UAE@XZ
10102863	?Close@CSocketFile@@UAEXXZ
10102b7b	?OnUpdateNumPageChange@CPreviewView@@IAEXPAVCCmdUI@@@Z
101035d1	??1CClientDC@@UAE@XZ
101035fd	??1CClientDC@@UAE@XZ
101096bf	??1CClientDC@@UAE@XZ
101096eb	??1CClientDC@@UAE@XZ
10109717	??1CClientDC@@UAE@XZ
10109743	??1CClientDC@@UAE@XZ
1010976f	??1CClientDC@@UAE@XZ
1010979b	??1CClientDC@@UAE@XZ
1010cd8c	Part
1010cff6	Part4
1010d1e2	??0bad_typeid@@QAE@ABV0@@Z
1010d216	??0bad_typeid@@QAE@ABV0@@Z
10115113	?GetFormatVersion@CPropertySet@@QAEGXZ
101158d9	TestVer
10115933	??0AFX_EVENT@@QAE@HJPAUtagDISPPARAMS@@PAUtagEXCEPINFO@@PAI@Z
10115a9e	_GetGWExchangeServerName
10115aa4	??1CPersistStream@@QAE@XZ
10115b60	?_com_issue_error@@YGXJ@Z
10115bae	?GetPageSite@COlePropertyPage@@QAEPAUIPropertyPageSite@@XZ
10115bbc	??1CClientDC@@UAE@XZ
10115bf2	??1CClientDC@@UAE@XZ
10115c23	??1CClientDC@@UAE@XZ
10115c54	??1CClientDC@@UAE@XZ
10115c85	??1CClientDC@@UAE@XZ
10115d1a	??0bad_typeid@@QAE@ABV0@@Z
10115d32	??0bad_typeid@@QAE@ABV0@@Z
10115e33	??0bad_typeid@@QAE@ABV0@@Z
10115e4b	??0bad_typeid@@QAE@ABV0@@Z
101160bf	00:?
1011652c	??Y?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@
10116c29	??1CClientDC@@UAE@XZ
10116c55	??1CClientDC@@UAE@XZ
10116c81	??1CClientDC@@UAE@XZ
10116cbf	??1CClientDC@@UAE@XZ
10116ceb	??1CClientDC@@UAE@XZ
10116d17	??1CClientDC@@UAE@XZ
10116d43	??1CClientDC@@UAE@XZ
10116e57	??1CClientDC@@UAE@XZ
10116e83	??1CClientDC@@UAE@XZ
10116eaf	??1CClientDC@@UAE@XZ
10116edb	??1CClientDC@@UAE@XZ
10116f07	??1CClientDC@@UAE@XZ
1011705e	??1CClientDC@@UAE@XZ
1011708a	??1CClientDC@@UAE@XZ
10118df7	??0bad_typeid@@QAE@ABV0@@Z
101198bc	??0bad_typeid@@QAE@ABV0@@Z
101198d4	??0bad_typeid@@QAE@ABV0@@Z
1011a030	??Y?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@
1011a042	??Y?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@
1011d9c5	?GetSelectionType@COleBusyDialog@@QBEIXZ
1011d9cc	?GetForeColor@COleControl@@QAEKXZ
1011d9d3	?GetRowsetSize@CRecordset@@QBEKXZ
1011d9e8	?GetMainFrame@COleIPFrameWnd@@QAEPAVCFrameWnd@@XZ
1011d9f6	?GetIconicMetafile@COlePasteSpecialDialog@@QBEPAXXZ
1011da04	?IsEOF@CRecordset@@QBEHXZ
1011da19	00:?
1011da27	?IsDeleted@CRecordset@@QBEHXZ
1011da43	00:?
1011da4a	00:?
1011dd12	?Id@CAtlTraceProcess@@QBEKXZ
1011dd20	?CrtDbgReport@CAtlTraceModule@@QBEP6AHHPBDH00ZZXZ
1011dfba	??1type_info@@UAE@XZ
1011dfcf	??1type_info@@UAE@XZ
1012d61a	Part2
1012d74f	Part3
10130f25	LL
1013e675	??_Fbad_typeid@@QAEXXZ
1013f292	??0CControlRectTracker@@QAE@PBUtagRECT@@I@Z
10142f28	??0?$moneypunct@_W$0A@@std@@QAE@I@Z
10143197	Init3
10143303	??0bad_typeid@@QAE@ABV0@@Z
1014331b	00:?
10143358	??1CClientDC@@UAE@XZ
10143722	??0CShellWrapper@@QAE@XZ
101437ec	??1COleLinkingDoc@@UAE@XZ
101447b6	??1CClientDC@@UAE@XZ
10147bff	??1CClientDC@@UAE@XZ
10148c44	??1CClientDC@@UAE@XZ
1014a48d	?OnUpdateNumPageChange@CPreviewView@@IAEXPAVCCmdUI@@@Z
1014a4cb	?GetCurrentDirectoryAsURL@CFtpConnection@@QBEHAAV?$CStringT@DV?
1014a809	??0runtime_error@std@@QAE@ABV01@@Z
1014d2a7	??1type_info@@UAE@XZ
1014e454	??1CClientDC@@UAE@XZ
10152f66	??1CClientDC@@UAE@XZ
10153266	??1CClientDC@@UAE@XZ
101550e4	??1CClientDC@@UAE@XZ
10159ed4	??1CClientDC@@UAE@XZ
1015a86a	??1CClientDC@@UAE@XZ
1015e32f	_strtol (REF 000F: _strtoxl)
1015f877	GetType
1015f8d0	init2
1015f9f1	bbb
1015fa68	SeekTo
10160088	Summay
101617ca	Summay
10164289	??1CClientDC@@UAE@XZ
101642ba	??1CClientDC@@UAE@XZ
101642eb	??0bad_typeid@@QAE@ABV0@@Z
1016439b	??0bad_typeid@@QAE@ABV0@@Z
10164a5e	??1CClientDC@@UAE@XZ
10164e15	??1CClientDC@@UAE@XZ
10164e41	??1CClientDC@@UAE@XZ
1016511a	??0bad_typeid@@QAE@ABV0@@Z
1016e628	?RemovePage@CPropertySheet@@QAEXPAVCPropertyPage@@@Z
1016e640	?RemovePage@CPropertySheet@@QAEXPAVCPropertyPage@@@Z
1016f4b2	??1CClientDC@@UAE@XZ
1016f4e3	??1CClientDC@@UAE@XZ
1016f514	??1CClientDC@@UAE@XZ
1016f545	??1CClientDC@@UAE@XZ
1016f576	??1CClientDC@@UAE@XZ
1016fb15	??1CClientDC@@UAE@XZ
1016fb41	??1CClientDC@@UAE@XZ
1016fb6d	??1CClientDC@@UAE@XZ
1016fb99	??1CClientDC@@UAE@XZ
1016fbc5	??1CClientDC@@UAE@XZ
1016fbf1	??1CClientDC@@UAE@XZ
1016fc1d	??1CClientDC@@UAE@XZ
1016fc49	??1CClientDC@@UAE@XZ
1016fc75	??1CClientDC@@UAE@XZ
1016fca1	??1CClientDC@@UAE@XZ
1016fccd	??1CClientDC@@UAE@XZ
1016fcf9	??1CClientDC@@UAE@XZ
1016fd25	??1CClientDC@@UAE@XZ
101700b6	??1CClientDC@@UAE@XZ
101700e2	??1CClientDC@@UAE@XZ
1017010e	??1CClientDC@@UAE@XZ
1017013a	??1CClientDC@@UAE@XZ
10170166	??1CClientDC@@UAE@XZ
10170192	??1CClientDC@@UAE@XZ
101701be	??1CClientDC@@UAE@XZ
101701fc	??1CClientDC@@UAE@XZ
10170228	??1CClientDC@@UAE@XZ
101703a0	??1CClientDC@@UAE@XZ
101703cc	??1CClientDC@@UAE@XZ
101715fb	??1CClientDC@@UAE@XZ
1017167e	??1CClientDC@@UAE@XZ
101716b0	??1CClientDC@@UAE@XZ
101716e2	??1CClientDC@@UAE@XZ
10171714	??1CClientDC@@UAE@XZ
10171746	??1CClientDC@@UAE@XZ
10171778	??1CClientDC@@UAE@XZ
10171e88	__fgetchar (REF 0007: _getc)
1017256c	??1CClientDC@@UAE@XZ
10173c2d	??0IBindStatusCallback@@QAE@XZ
10173c59	??0CControlRectTracker@@QAE@PBUtagRECT@@I@Z
10174cc4	??1CClientDC@@UAE@XZ
1017720e	??1CClientDC@@UAE@XZ
1017ae8a	00:__inc
1017ef38	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
10183eac	??1CClientDC@@UAE@XZ
10183ef9	??0bad_typeid@@QAE@ABV0@@Z
10184463	?ReleaseOutputDC@CDC@@UAEXXZ
1018a352	_strtol (REF 000F: _strtoxl)
1018dfbb	??0bad_typeid@@QAE@ABV0@@Z
1018e06d	??1CClientDC@@UAE@XZ
101907c4	ButGet
1019081a	_GetGWExchangeServerName
10190820	_GetGWExchangeServerName
10193bd2	?GetIconicMetafile@COleChangeIconDialog@@QBEPAXXZ
10193bee	?IsBOF@CRecordset@@QBEHXZ
10193bfc	00:?
1019585e	?HIMETRICtoLP@CDC@@QBEXPAUtagSIZE@@@Z
10195ab8	??1CClientDC@@UAE@XZ
10199751	??0bad_typeid@@QAE@ABV0@@Z
1019e8cf	?SetModifiedFlag@CDocument@@UAEXH@Z
1019e8d9	?SetModifiedFlag@CDocument@@UAEXH@Z
1019e94d	Test Header
1019e97d	Loop
1019e9ca	Errexit
1019e9ce	Done
1019e9d5	crxy
1019eac4	??1CClientDC@@UAE@XZ
1019ebd8	??0bad_typeid@@QAE@ABV0@@Z
1019eca2	TellG
1019ecf7	Header
1019ed1a	ISSib
1019edbe	Get8
1019eec6	ErrType
1019ef49	More
1019f013	Gett
1019f08c	Readd
1019f545	ReadString
1019f643	SizeIsZero
1019f64d	ReadItem
1019f716	ReadInt
1019f7d3	GetByte
1019f82a	ReadFL
1019f879	ReadBool
1019f9a4	Find
1019fac2	s
1019fad1	FindArg
1019fb6a	ReadBit
1019fb9f	Readbit
1019fc17	TestType
1019fc51	TypeMatch
1019fdc1	Init
1019ffc5	VerB
101a29b9	??0CShellWrapper@@QAE@XZ
101a3b65	??1CClientDC@@UAE@XZ
101a3c1b	??0bad_typeid@@QAE@ABV0@@Z
101a500c	??1CClientDC@@UAE@XZ
101a515d	??Y?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@
101a51ff	??1CClientDC@@UAE@XZ
101a5230	??0bad_typeid@@QAE@ABV0@@Z
101a5526	??1CClientDC@@UAE@XZ
101a81db	??1CClientDC@@UAE@XZ
101a82c2	??0bad_typeid@@QAE@ABV0@@Z
101a8cf3	??1CClientDC@@UAE@XZ
101b5db3	00:?
101b93f8	??1CClientDC@@UAE@XZ
101b9429	??1CClientDC@@UAE@XZ
101b95de	??0bad_typeid@@QAE@ABV0@@Z
101b9ba7	??1CClientDC@@UAE@XZ
101b9cb7	??1CClientDC@@UAE@XZ
101b9ce3	??1CClientDC@@UAE@XZ
101bb19c	??0bad_typeid@@QAE@ABV0@@Z
101bb562	??0bad_typeid@@QAE@ABV0@@Z
101bb739	Los
101bc560	??1CClientDC@@UAE@XZ
101bd136	??1CClientDC@@UAE@XZ
101c129e	??1CClientDC@@UAE@XZ
101c174a	??1type_info@@UAE@XZ
101c1e3f	??1CClientDC@@UAE@XZ
101c4de5	?OnUpdateNumPageChange@CPreviewView@@IAEXPAVCCmdUI@@@Z
101c4f91	?OnUpdateNumPageChange@CPreviewView@@IAEXPAVCCmdUI@@@Z
101c7201	?OnUpdateNumPageChange@CPreviewView@@IAEXPAVCCmdUI@@@Z
101c8ab7	Get
101c905f	??1CClientDC@@UAE@XZ
101c977d	??1CClientDC@@UAE@XZ
101cf62d	_strtol (REF 000F: _strtoxl)
101d0c78	??1CClientDC@@UAE@XZ
101d1159	??0bad_typeid@@QAE@ABV0@@Z
101d12b3	?SetTemporalCompression@CMediaType@@QAEXH@Z
101d1887	??1CClientDC@@UAE@XZ
101d1a3b	??0bad_typeid@@QAE@ABV0@@Z
101d1a84	??0bad_typeid@@QAE@ABV0@@Z
101d1f36	??1CClientDC@@UAE@XZ
101d31eb	??$_Allocate@D@std@@YAPADIPAD@Z
101d3c2d	??0runtime_error@std@@QAE@ABV01@@Z
101d5517	??0CMediaType@@QAE@XZ
101d7c35	_strtol (REF 000F: _strtoxl)
101d99e8	_strftime (REF 0013: __Strftime)
101dd046	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
101df4b5	??1CClientDC@@UAE@XZ
101e923e	??1CClientDC@@UAE@XZ
101ed069	??1CClientDC@@UAE@XZ
101ee5be	??1CClientDC@@UAE@XZ
101f1c77	??1CClientDC@@UAE@XZ
101f1cc1	??1CClientDC@@UAE@XZ
101f4773	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
101f535b	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
101f60cc	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
101f68d5	00:?
101f84eb	?_Xran@_String_base@std@@SAXXZ
101f8bbb	MenID
101f9de4	00:__inc
101fa4a5	??0bad_typeid@@QAE@ABV0@@Z
101fa4bd	??1CClientDC@@UAE@XZ
101fa618	00:__inc
101fb10d	??1type_info@@UAE@XZ
101fbbe7	00:_$$ed00
101fbd43	00:_$$ed00
101fcfe5	00:__inc
101fd641	00:__inc
101fe02b	00:__inc
101fe284	??1CClientDC@@UAE@XZ
101fe2b5	00:_$$ed00
101fe31e	??0bad_typeid@@QAE@ABV0@@Z
101fe622	00:__inc
101fe902	00:__inc
101fecc6	00:__inc
101feecb	00:_$$ed00
101ff0f8	00:__inc
101ff9e3	??0CControlRectTracker@@QAE@PBUtagRECT@@I@Z
101ffa47	??1CClientDC@@UAE@XZ
10200a6f	??0bad_typeid@@QAE@ABV0@@Z
10202ed2	00:__inc
1020371a	00:__inc
10203ceb	00:_$$ed00
10203efb	00:__inc
10204003	00:__inc
10205cbd	00:_$$ed00
10205eda	00:_$$ed00
102061a4	00:_$$ed00
10206266	00:__inc
102063be	00:_$$ed00
10207850	00:_$$ed00
10207bf0	00:_$$ed00
102080f4	00:_$$ed00
1020834b	00:__inc
10208a21	00:_$$ed00
1020c3f3	??0?$basic_streambuf@GU?$char_traits@G@std@@@std@@IAE@XZ
1020e1cd	??0runtime_error@std@@QAE@ABV01@@Z
1020f294	??0runtime_error@std@@QAE@ABV01@@Z
10213088	PrepareDRM
1021602f	??0CTraceSnapshot@@QAE@XZ
10217802	??0CControlRectTracker@@QAE@PBUtagRECT@@I@Z
10218b11	??0bad_typeid@@QAE@ABV0@@Z
10218b29	??0bad_typeid@@QAE@ABV0@@Z
10219bd0	??Y?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@
1021d865	??0CAtlException@ATL@@QAE@J@Z
1021dc23	00:_$$ed00
1021ee03	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
10224e91	??0runtime_error@std@@QAE@ABV01@@Z
10227751	??1CPersistStream@@QAE@XZ
10227a46	??1CClientDC@@UAE@XZ
10227dae	??1CClientDC@@UAE@XZ
10227e1e	??1CClientDC@@UAE@XZ
10241f43	GetName1
10241fea	LoadDRM
102420ab	LoadDRM2
102420bd	ViewAllPages
102421d1	ViewAllFromCdRom
102422e4	ViewFirstNPages
102423aa	Playoptions
10242583	PlayDura
102425e5	ISEnableTranspose
1024264a	ISEnableSubstituteInstruments
102426ae	PrintingSecurityScript
10242744	PrintingSecuritySecret
102427da	Get VendorId
10242870	GetVendorSecret
10242ba9	VM_GetPages
10242cbb	ViewModeWatermark
10242d51	PrintModePrintPages
10242e63	PrintModeWatermark
10243248	ViewPagesWatermark
1024346e	GetPrintModePrintPages
10243586	PrintModeDisplayWatermark
10243877	init4
102438ae	NoSib
10243bb5	??1CClientDC@@UAE@XZ
10243be6	??0bad_typeid@@QAE@ABV0@@Z
10244255	??_GCControlBarInfo@@QAEPAXI@Z
10244555	??1CClientDC@@UAE@XZ
10244581	??1CClientDC@@UAE@XZ
1024464d	??1CClientDC@@UAE@XZ
1024491a	??1CClientDC@@UAE@XZ
10245020	??1CClientDC@@UAE@XZ
102454d4	_strtol (REF 000F: _strtoxl)
102460ae	PrintSettings
10249266	Show print
102498bd	loadSib_data
1024998c	NoVer
10249dd5	Load3
1024a042	Load3_1
1024a107	Print&Save
1024aea5	00:_$$ed00
1024ef87	Options
10251060	ScoreOptions
10251659	??1CClientDC@@UAE@XZ
10251685	??1CClientDC@@UAE@XZ
10251791	ScorchPDFPersister::LoadFromScorchPDFChunk
102517bd	End
102517ed	Loop
10251801	Data
10251831	DRM
1025188a	Else
102518cd	DRM
102521e5	??0CMultiDocTemplate@@QAE@IPAUCRuntimeClass@@00@Z
10252e4b	??1CClientDC@@UAE@XZ
102544cf	ButtGet2
10254604	?NotifyAllocator@CDrawImage@@QAEXH@Z
10254acd	Print
10254e17	part6
1025824d	_GetGWExchangeServerName
10258956	?CreateDlgIndirect@CWnd@@IAEHPBUDLGTEMPLATE@@PAV1@@Z
10258f14	?GetStorageName@COleStreamFile@@UBE?BV?$CStringT@DV?$StrTraitMF
1025bfca	??1CClientDC@@UAE@XZ
1025cd09	?GetObjectA@CHttpFile@@QBE?AV?$CStringT@DV?$StrTraitMFC@DV?$ChT
1025dc82	??1CClientDC@@UAE@XZ
1025dfcc	?GetSQL@CDaoRecordset@@QBE?AVCString@@XZ
1025e1b6	LoadPDFDatqa
1026131c	?GetDisplayDepth@CImageDisplay@@QAEGXZ
102618ed	??1type_info@@UAE@XZ
102671d0	??1CPersistStream@@QAE@XZ
10268d6c	_GetGWDefaultStore
10268f10	?GetDocFrame@COleIPFrameWnd@@QAEPAVCFrameWnd@@XZ
10269135	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
10269333	??1CClientDC@@UAE@XZ
1026935f	??1CClientDC@@UAE@XZ
1026938b	??1CClientDC@@UAE@XZ
102693d5	??1CClientDC@@UAE@XZ
10269c0d	??1CClientDC@@UAE@XZ
1026c8ab	??1CClientDC@@UAE@XZ
1026db2c	??1CClientDC@@UAE@XZ
1026dd10	??0runtime_error@std@@QAE@ABV01@@Z
1026e2f3	L1
1027596f	??1CClientDC@@UAE@XZ
10277813	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102797bc	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
1027f7b8	??0bad_typeid@@QAE@ABV0@@Z
10283cc1	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
10283cdd	00:?GetDefaultSQL@CRecordset@@UAE?AVCString@@XZ
10283d61	?CanScroll@CRecordset@@QBEHXZ
102856ca	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
1028ae90	??1CClientDC@@UAE@XZ
1028f52e	??1CParkingWnd@@UAE@XZ
10295a22	?EnableStackedTabs@CPropertySheet@@QAEXH@Z
10295eca	??1CClientDC@@UAE@XZ
10295ef6	??1CClientDC@@UAE@XZ
10295f22	??1CClientDC@@UAE@XZ
10295f4e	??1CClientDC@@UAE@XZ
10295f9e	??1CClientDC@@UAE@XZ
10298820	??NCOleCurrency@@QBEHABV0@@Z
10299c02	??1CClientDC@@UAE@XZ
1029a543	_strtol (REF 000F: _strtoxl)
1029b7ee	??1CClientDC@@UAE@XZ
1029c732	??0CSimpleException@@QAE@XZ
1029d6f4	??1CClientDC@@UAE@XZ
1029d73c	??1CClientDC@@UAE@XZ
1029daa4	??1CFrameWnd@@UAE@XZ
102a0910	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a0929	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a2b9d	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a2bb6	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a2e95	??0runtime_error@std@@QAE@ABV01@@Z
102a2ec9	??0runtime_error@std@@QAE@ABV01@@Z
102a4524	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a453d	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a71fc	??1CClientDC@@UAE@XZ
102a8363	??OCOleCurrency@@QBEHABV0@@Z
102a8d01	??0facet@locale@std@@IAE@I@Z
102a8d89	??1CClientDC@@UAE@XZ
102a8edc	??1CClientDC@@UAE@XZ
102a92e6	??$move_s@U?$char_traits@D@std@@@_Traits_helper@std@@YAPADPADIP
102a9cd6	??1CClientDC@@UAE@XZ
102a9f49	??1CClientDC@@UAE@XZ
102b4090	__allrem
102b4150	__alldvrm
102b5ac6	??1CClientDC@@UAE@XZ
102b5b43	??0CDocItem@@IAE@XZ
102b5d45	??1CClientDC@@UAE@XZ
102b5db6	??1CClientDC@@UAE@XZ
102b5e5a	??1CClientDC@@UAE@XZ
102b6097	DebugText
102b64ba	??0bad_typeid@@QAE@ABV0@@Z
102b8767	??1CClientDC@@UAE@XZ
102b8ac8	??1CClientDC@@UAE@XZ
102b9bb2	??0bad_typeid@@QAE@ABV0@@Z
102bc26a	??0runtime_error@std@@QAE@ABV01@@Z
102bc48b	??0runtime_error@std@@QAE@ABV01@@Z
102c1203	??1CClientDC@@UAE@XZ
102c1680	??0?$CTempBuffer@D$0IA@VCCRTAllocator@ATL@@@ATL@@QAE@I@Z
102c20bc	?GetObjectA@CHttpFile@@QBE?AV?$CStringT@DV?$StrTraitMFC@DV?$ChT
102c2b73	??1CClientDC@@UAE@XZ
102c2b9f	??1COleLinkingDoc@@UAE@XZ
102c2da0	??1CClientDC@@UAE@XZ
102c38cc	??1CClientDC@@UAE@XZ
102c6a64	Music
102c9035	??1CClientDC@@UAE@XZ
102c9066	??1type_info@@UAE@XZ
102c907b	??1type_info@@UAE@XZ
102c9116	??0runtime_error@std@@QAE@ABV01@@Z
102c9242	??1CClientDC@@UAE@XZ
102c9273	??1CClientDC@@UAE@XZ
102c92a4	??1CClientDC@@UAE@XZ
102c92d5	??1CClientDC@@UAE@XZ
10326b00	___get_current_locale (REF 0004: __get_current_locale)
